date,ticker,qty,order
2010-01-01,XLE,652,BUY
2010-01-01,XLU,2290,BUY
2010-01-01,XLK,4128,BUY   
2010-01-01,XLB,1996,BUY
2010-01-01,XLP,5859,BUY
2010-01-01,XLY,2416,BUY
2010-01-01,XLV,6268,BUY
2010-01-01,XLF,107,BUY
2010-01-01,TLT,7571,BUY
2010-01-04,XLE,507,BUY
2010-01-04,XLU,10,SELL
2010-01-04,XLK,656,BUY
2010-01-04,XLB,112,SELL
2010-01-04,XLP,377,BUY
2010-01-04,XLY,533,BUY
2010-01-04,XLV,411,BUY
2010-01-04,XLF,143,BUY
2010-01-04,TLT,785,SELL
2010-01-11,XLE,183,BUY
2010-01-11,XLU,811,BUY
2010-01-11,XLK,284,BUY
2010-01-11,XLB,166,BUY
2010-01-11,XLP,635,BUY
2010-01-11,XLY,173,BUY
2010-01-11,XLI,97,BUY
2010-01-11,XLV,544,SELL
2010-01-11,XLF,303,BUY
2010-01-11,TLT,703,SELL
2010-01-18,XLE,28,BUY
2010-01-18,XLU,353,SELL
2010-01-18,XLK,974,SELL
2010-01-18,XLB,416,BUY
2010-01-18,XLP,2082,BUY
2010-01-18,XLY,861,SELL
2010-01-18,XLI,539,BUY
2010-01-18,XLV,267,SELL
2010-01-18,XLF,553,SELL
2010-01-18,TLT,148,SELL
2010-01-25,XLE,255,SELL
2010-01-25,XLU,1250,SELL
2010-01-25,XLK,974,SELL
2010-01-25,XLB,243,SELL
2010-01-25,XLP,37,SELL
2010-01-25,XLY,169,SELL
2010-01-25,XLI,49,SELL
2010-01-25,XLV,831,SELL
2010-01-25,TLT,1506,BUY
2010-02-01,XLE,332,SELL
2010-02-01,XLU,421,SELL
2010-02-01,XLK,376,SELL
2010-02-01,XLB,367,BUY
2010-02-01,XLP,514,BUY
2010-02-01,XLY,329,BUY
2010-02-01,XLI,395,SELL
2010-02-01,XLV,306,BUY
2010-02-01,TLT,120,BUY
2010-02-08,XLE,595,SELL
2010-02-08,XLU,1067,SELL
2010-02-08,XLK,925,BUY
2010-02-08,XLB,233,BUY
2010-02-08,XLP,732,SELL
2010-02-08,XLY,880,BUY
2010-02-08,XLI,2,BUY
2010-02-08,XLV,202,BUY
2010-02-08,TLT,436,SELL
2010-02-15,XLE,188,SELL
2010-02-15,XLK,53,BUY
2010-02-15,XLB,196,SELL
2010-02-15,XLP,433,BUY
2010-02-15,XLY,24,BUY
2010-02-15,XLI,362,BUY
2010-02-15,XLV,311,BUY
2010-02-15,TLT,975,SELL
2010-02-22,XLE,77,BUY
2010-02-22,XLK,582,BUY
2010-02-22,XLB,104,BUY
2010-02-22,XLP,542,BUY
2010-02-22,XLY,113,BUY
2010-02-22,XLI,30,SELL
2010-02-22,XLV,275,BUY
2010-02-22,TLT,1045,SELL
2010-03-01,XLE,77,SELL
2010-03-01,XLK,265,SELL
2010-03-01,XLB,441,BUY
2010-03-01,XLP,2064,BUY
2010-03-01,XLY,158,SELL
2010-03-01,XLI,168,BUY
2010-03-01,XLV,384,SELL
2010-03-01,XLF,655,BUY
2010-03-01,TLT,1442,SELL
2010-03-08,XLE,891,BUY
2010-03-08,XLK,917,SELL
2010-03-08,XLB,391,SELL
2010-03-08,XLP,1419,SELL
2010-03-08,XLY,113,BUY
2010-03-08,XLI,100,SELL
2010-03-08,XLV,704,BUY
